movieNm,naver_movieCd,ntz_see_score,spc_score,ntz_score
스파이더맨: 홈커밍,135874.0,8.83,7.0,8.38
너와 100번째 사랑,156417.0,8.48,4.67,7.95
우리들의 일기,159592.0,8.5,0.0,5.59
나는 고양이로소이다,140653.0,9.32,6.6,9.1
제네시스 : 새로운 시대의 서막,160130.0,0.0,0.0,0.0
중독노래방,126961.0,7.3,5.0,8.42
엘르,147067.0,8.35,8.09,7.79
"컴, 투게더",152387.0,9.0,7.0,8.19
어트랙션,155407.0,5.79,4.0,3.0
24주,147927.0,8.33,7.0,8.17
안티포르노,156004.0,7.97,5.25,6.69
샤인,17970.0,9.14,0.0,9.09
더 서클,143099.0,0.0,3.67,7.05
바다 탐험대 옥토넛 시즌4 : 더 파이널,160964.0,8.38,0.0,8.32
지랄발광 17세,149776.0,0.0,6.4,7.94
매치 포인트,40932.0,8.57,6.67,7.98
7번째 내가 죽던 날,144988.0,8.65,4.67,7.56
작쩐,137859.0,0.0,0.0,3.05
다시 태어나도 우리,154573.0,9.26,6.5,9.35
이웃집 스타,155218.0,6.38,3.67,5.97
분장,154984.0,9.15,6.25,8.63
킹스맨 : 시크릿 에이전트,114249.0,9.02,7.58,8.82
구세주: 리턴즈,162751.0,4.8,2.0,4.77
극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,156200.0,8.59,5.0,8.31
우리의 20세기,143390.0,8.42,6.75,8.25
레고 닌자고 무비,125439.0,8.7,4.0,8.43
여배우는 오늘도,138601.0,8.79,7.0,8.85
작은 엄마,166189.0,0.0,0.0,4.89
해피 버스데이,149267.0,8.57,6.67,8.69
초능력자 제레미,141631.0,0.0,0.0,0.0
히든 아이덴티티,106069.0,0.0,4.5,7.41
어메이징 메리,143469.0,9.09,0.0,9.19
빌로우 허,154429.0,6.43,5.0,6.81
사월의 끝,142633.0,7.0,5.5,7.19
땐뽀걸즈,167107.0,9.44,7.0,9.3
노 게임 노 라이프 -제로-,164968.0,8.0,0.0,7.14
잇 컴스 앳 나잇,158649.0,6.5,7.0,6.72
사랑은 없다,140806.0,0.0,2.0,4.97
새벽의 저주: 좀비랜드,151559.0,0.0,0.0,2.62
테이킹,131440.0,0.0,0.0,6.04
매디슨 카운티의 다리,17255.0,9.06,8.5,8.9
빅토리아 & 압둘,158640.0,8.28,6.0,6.88
내 친구 정일우,160009.0,9.59,6.5,9.0
변강쇠 VS 어우동,165564.0,0.0,0.0,4.71
아이 앰 히스 레저,161963.0,9.19,7.0,9.06
루터,37732.0,9.1,0.0,9.23
배저로와 친구들: 신비한 모험,162113.0,6.91,0.0,7.1
넛잡 2,121052.0,8.63,5.0,8.78
내 사랑 왕가흔,140622.0,0.0,0.0,7.17
터널,153973.0,0.0,0.0,0.0
슬립리스: 크리미널 나이트,140257.0,7.0,4.33,6.07
착한 엄마들: 서로의 아들에게 여자가 되던 날,159549.0,0.0,0.0,6.0
아티스트: 다시 태어나다,137948.0,8.65,5.67,8.12
왕을 참하라,160922.0,8.83,4.0,5.09
더 울버린,72270.0,0.0,5.13,6.12
절벽 위의 트럼펫,142262.0,9.18,3.0,7.72
플립,76309.0,9.11,6.0,9.2
47 미터,152616.0,7.33,4.0,7.24
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,156477.0,8.67,0.0,8.65
파리로 가는 길,154458.0,8.12,5.17,7.9
뫼비우스,103781.0,0.0,6.0,4.5
포크레인,165768.0,9.33,6.5,3.74
예수는 역사다,158910.0,9.04,4.0,7.69
이모티: 더 무비,158651.0,7.64,7.0,6.34
그 후,162956.0,7.99,7.0,6.43
슬레이트,146580.0,0.0,0.0,0.0
여자들,156363.0,7.76,3.83,6.34
카3: 새로운 도전,152396.0,8.62,5.5,8.51
송 투 송,114268.0,5.71,5.0,6.62
다크 나이트,62586.0,10.0,8.7,9.33
뉴 폴리스 스토리,39479.0,0.0,0.0,8.53
트레이터,123271.0,0.0,5.0,7.11
예감은 틀리지 않는다,144657.0,7.84,6.14,7.48
여자 보험왕 : 그녀의 영업비밀,161300.0,0.0,0.0,5.0
프란츠,149012.0,8.72,6.6,8.65
두 엄마,161306.0,0.0,0.0,5.45
화려한 휴가,58018.0,0.0,6.25,7.48
킹 아서: 제왕의 검,127374.0,8.11,5.25,7.78
키즈모노가타리 III 냉혈편,158560.0,8.97,0.0,8.33
로스트 인 파리,156259.0,8.07,6.0,7.94
뮤지엄,155020.0,8.0,5.0,6.52
마차 타고 고래고래,137946.0,8.71,4.0,7.96
길,158536.0,8.38,4.5,8.13
인카네이트,118965.0,6.94,3.5,6.51
바람에 젖은 여자,153769.0,7.76,5.0,7.09
부니베어: 브램블의 신비한 모험,144315.0,6.86,4.0,7.61
위 아 엑스,146196.0,9.71,6.5,9.09
무적의 청룡언월도,163098.0,0.0,0.0,2.46
와룡선생 상경기,22380.0,0.0,0.0,7.71
간츠: 오,153729.0,,,
마운틴맨,142697.0,10.0,6.0,7.76
네루다,151870.0,7.62,7.0,7.5
이터너티,154078.0,7.63,3.5,6.35
해커,143992.0,0.0,0.0,0.0
지니어스,114247.0,8.11,5.4,8.11
흑집사 : 북 오브 더 아틀란틱,158578.0,9.61,0.0,9.21
패트리어트 데이,149731.0,8.89,5.0,8.81
분노,142730.0,8.77,7.33,8.57
로즈,120795.0,8.07,6.0,7.97
지렁이,134891.0,9.4,0.0,8.38
