rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate
10,10,0,NEW,20173931,리빙보이 인 뉴욕,2017-11-09,8598500,0.5,8598500,100,19832500,1359,1359,100,2618,16,16,2017-11-07
1,1,0,OLD,20172603,부라더,2017-11-02,470673700,23.5,10265500,2.2,7362579436,64328,2066,3.3,927581,803,3699,2017-11-08
2,2,0,OLD,20175121,토르: 라그나로크,2017-10-25,475687700,23.8,-6697300,-1.4,30390602531,61380,-777,-1.3,3765884,841,3854,2017-11-08
3,3,29,OLD,20174622,해피 데스데이,2017-11-08,341139800,17.0,339395800,19460.8,345843800,45059,44841,20569.3,45647,472,2230,2017-11-08
4,4,-1,OLD,20172742,범죄도시,2017-10-03,254798700,12.7,-19568900,-7.1,52989811211,33468,-2564,-7.1,6476449,555,2029,2017-11-08
5,5,-1,OLD,20169643,침묵,2017-11-02,215345700,10.8,-16187300,-7,3151737964,29056,-2314,-7.4,396704,543,2041,2017-11-08
6,6,-1,OLD,20171024,너의 췌장을 먹고 싶어,2017-10-25,63792400,3.2,253000,0.4,2937497600,8197,139,1.7,370797,174,567,2017-11-08
7,7,-1,OLD,20173724,직쏘,2017-11-02,38624400,1.9,-15062000,-28.1,835623400,4784,-1810,-27.4,95995,143,445,2017-11-08
8,8,-1,OLD,20070454,원스,2007-09-20,14074000,0.7,-839300,-5.6,1809166100,1871,-171,-8.4,261271,109,214,2017-11-08
9,9,-1,OLD,20173612,메소드,2017-11-02,11847300,0.6,-442400,-3.6,149852800,1556,-30,-1.9,18710,164,251,2017-11-08
10,10,-1,OLD,20173804,배드 지니어스,2017-11-02,8843400,0.4,-2473000,-21.9,110675736,1235,-340,-21.6,14244,160,201,2017-11-08
1,1,1,OLD,20175121,토르: 라그나로크,2017-10-25,395017600,18.5,-80670100,-17,30785620131,51340,-10040,-16.4,3817224,708,2909,2017-11-09
2,2,17,OLD,20161681,미옥,2017-11-09,371690200,17.4,367690200,9192.3,392589200,50553,50053,10010.6,53176,625,3110,2017-11-09
3,3,0,OLD,20174622,해피 데스데이,2017-11-08,370139000,17.3,28999200,8.5,715982800,48693,3634,8.1,94340,475,2231,2017-11-09
4,4,-3,OLD,20172603,부라더,2017-11-02,344380000,16.1,-126293700,-26.8,7706959436,47573,-16755,-26,975154,670,2909,2017-11-09
5,5,-1,OLD,20172742,범죄도시,2017-10-03,203664700,9.5,-51134000,-20.1,53193475911,26828,-6640,-19.8,6503277,497,1462,2017-11-09
