0,1,2,3,4
치즈인더트랩,153620.0,,,
마셜,154296.0,,,
"아이, 토냐",154293.0,,,
게이트,172005.0,,,
퍼시픽 림: 업라이징,125494.0,,,
레지던트 이블: 파멸의 날,110333.0,,,
모아나,130849.0,,,
딥워터 호라이즌,137346.0,,,
얼라이드,149777.0,,,
라이언,134841.0,,,
트리플 엑스 리턴즈,102278.0,,,
일본 엄마,158466.0,,,
맛있는 워킹걸,158764.0,,,
50가지 그림자: 심연,144081.0,,,
뚜르: 내 생애 최고의 49일,142304.0,,,
여교사,139673.0,,,
매기스 플랜,136859.0,,,
스노든,134887.0,,,
퍼스널 쇼퍼,144221.0,,,
명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849.0,,,
문영,144578.0,,,
더 큐어,143372.0,,,
사랑의 시대,146374.0,,,
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,149050.0,,,
레고 배트맨 무비,132627.0,,,
터닝메카드W: 블랙미러의 부활,155484.0,,,
사랑하기 때문에,140010.0,,,
판도라,132933.0,,,
멜라니: 인류의 마지막 희망인 소녀,144986.0,,,
블랙,68567.0,,,
닥터 스트레인지,125459.0,,,
아빠는 포르노스타,156636.0,,,
빌리 린스 롱 하프타임 워크,136849.0,,,
이탈리안 레이스,149027.0,,,
아무도 모른다,38546.0,,,
바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동,158266.0,,,
발레리나,130984.0,,,
은하,138209.0,,,
쿵푸 요가,158094.0,,,
랜드 오브 마인,144100.0,,,
패션 오브 크라이스트,38197.0,0.0,0.0,8.6
"다시, 벚꽃",160944.0,9.57,6.5,9.13
미스 슬로운,142632.0,9.32,6.83,9.28
펜스,154265.0,0.0,0.0,0.0
리틀 프린세스 소피아: 신비한 섬,165514.0,8.64,0.0,8.5
리볼트,167604.0,0.0,0.0,0.0
장기왕: 가락시장 레볼루션,146530.0,9.0,4.0,7.95
"그래, 가족",151192.0,9.26,4.5,8.33
아이보이,158563.0,0.0,0.0,0.0
마이펫 오지,157500.0,8.08,0.0,8.24
미인어,127383.0,7.96,6.0,7.95
레이디버그,157564.0,6.64,0.0,6.0
마영정: 상해야인시대,102638.0,0.0,0.0,7.41
녹터널 애니멀스,143409.0,8.36,7.0,8.14
아이덴티티,36992.0,0.0,0.0,9.07
스페이스 워,158452.0,0.0,0.0,0.0
재키,144990.0,7.42,6.4,7.09
언프렌드,146361.0,7.12,0.0,5.24
가족의 재구성,158634.0,0.0,0.0,7.44
제리 맥과이어,17942.0,0.0,8.0,9.15
6 데이즈,140288.0,0.0,0.0,0.0
어 퍼펙트 데이,137963.0,8.08,6.33,7.98
시인의 사랑,158252.0,8.25,6.14,8.06
시큐리티,143463.0,0.0,0.0,5.05
삼생삼세십리도화,144216.0,0.0,0.0,6.87
특이점이 온 영화,155563.0,0.0,0.0,6.41
시티 워: 익스트림 킬러,138370.0,0.0,0.0,5.32
"나, 다니엘 블레이크",150376.0,9.28,8.4,9.25
신비한 동물사전,115642.0,8.69,7.08,8.18
베를린 신드롬,158864.0,4.8,4.5,6.01
하이큐!! 끝과 시작,140803.0,9.11,0.0,8.91
파워배틀 와치카: 와치가면의 역습,162933.0,8.49,4.0,8.42
바람의 춤꾼,162260.0,9.5,10.0,9.35
캐리비안의 해적: 낯선 조류,51443.0,0.0,6.08,8.1
애로우헤드,163014.0,0.0,0.0,0.0
워 머신,143366.0,0.0,0.0,0.0
몬스터 트럭,125469.0,0.0,0.0,0.0
애프터매스,158665.0,0.0,4.5,6.11
안해,159554.0,0.0,0.0,4.38
