director,movieCd,movieNm,naver_movieCd,ntz_see_score,spc_score,ntz_score
도미니크 아벨,20174721,로스트 인 파리,156259.0,8.07,6.0,7.94
정인봉,20174644,길,158536.0,8.38,4.5,8.13
나현,20162181,프리즌,146517.0,8.25,6.0,7.58
루퍼트 샌더스,20163194,공각기동대 : 고스트 인 더 쉘,134838.0,7.27,5.14,6.96
양경모,20151230,원라인,142699.0,8.68,5.71,8.17
데오도르 멜피,20167363,히든 피겨스,147092.0,9.36,6.75,9.35
김봉한,20167902,보통사람,152331.0,8.5,5.86,7.95
사토 신스케,20167005,데스노트: 더 뉴 월드,142324.0,7.51,6.0,5.0
존 매든,20167364,미스 슬로운,142632.0,9.32,6.83,9.28
유위,20171661,아기돼지 3형제와 매직램프,160720.0,7.53,6.0,7.02
홍상수,20179442,밤의 해변에서 혼자,156465.0,7.62,7.63,5.66
키시 세이지,20171801,극장판 암살교실 : 365일의 시간,160750.0,8.72,0.0,8.47
다니엘 에스피노사,20171381,라이프,152633.0,7.82,5.67,7.22
이윤기,20167901,어느날,146544.0,8.32,6.0,7.69
임대웅,20161923,시간위의 집,154214.0,8.36,4.71,7.59
피터 버그,20171781,패트리어트 데이,149731.0,8.89,5.0,8.81
하비에르 구티에레즈,20173444,링스,137909.0,0.0,0.0,4.9
멜 깁슨,20040525,패션 오브 크라이스트,38197.0,0.0,0.0,8.6
마이클 그랜다지,20170741,지니어스,114247.0,8.11,5.4,8.11
제이미 미첼,20173601,리틀 프린세스 소피아: 엘레나와 비밀의 아발로 왕국,161374.0,8.73,0.0,8.69
딘 이스라엘리트,20179662,파워레인져스: 더 비기닝,143490.0,8.01,6.5,7.17
최진성,20174561,더 플랜,162471.0,9.82,6.5,8.86
존 리 행콕,20172125,파운더,137976.0,8.22,6.78,8.38
나초 비갈론도,20173121,콜로설,143499.0,7.5,5.8,5.19
제임스 건,20149317,가디언즈 오브 갤럭시,97857.0,8.64,7.96,8.56
이수연,20150971,해빙,137875.0,6.64,6.0,6.5
제임스 맨골드,20161827,로건,117787.0,8.93,7.55,9.06
M. 나이트 샤말란,20170241,23 아이덴티티,144927.0,7.94,6.5,7.66
김태윤,20166421,재심,149512.0,8.7,6.0,8.49
마이크 미첼,20161744,트롤,101904.0,8.81,5.5,8.71
이나정,20158799,눈길,134772.0,9.02,6.0,9.16
박광현,20150964,조작된 도시,127382.0,8.56,5.22,8.03
배리 젠킨스,20165927,문라이트,152684.0,8.4,7.89,8.07
마틴 스콜세지,20166468,사일런스,90922.0,8.72,7.0,8.25
채드 스타헬스키,20166101,존 윅 - 리로드,143932.0,8.73,7.0,7.97
조던 복트-로버츠,20168183,콩: 스컬 아일랜드,127397.0,8.12,6.17,7.76
데릭 시엔프랜스,20168750,파도가 지나간 자리,125417.0,8.93,6.0,9.01
테이트 테일러,20170761,걸 온 더 트레인,142255.0,7.41,4.67,7.42
이토 토모히코,20170509,극장판 소드 아트 온라인 -오디널 스케일-,159408.0,9.25,0.0,8.94
김덕수,20167905,비정규직 특수요원,152161.0,7.26,3.25,6.02
피터 첼섬,20178942,스페이스 비트윈 어스,143437.0,8.37,6.0,7.42
스티븐 개건,20170221,골드,143379.0,8.6,5.75,8.6
에란 크리비,20168742,아우토반,110379.0,7.72,4.0,7.74
이상일,20164926,분노,142730.0,8.77,7.33,8.57
김성훈,20151228,공조,142384.0,8.83,5.0,8.27
한재림,20151229,더 킹,144314.0,8.39,6.83,8.08
폴 W.S. 앤더슨,20168688,레지던트 이블: 파멸의 날,110333.0,8.59,6.0,8.38
론 클레멘츠,20165443,모아나,130849.0,9.22,6.4,9.15
